Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80897232.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80897232.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80897232.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80365895.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
91956491.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91956491.0,2024-08-01,,,,0.0058,,,,Industrial & Manufacturing
